id,sentiment
103,NEGATIVE
104,NEGATIVE
105,NEGATIVE
106,NEGATIVE
107,NEGATIVE
108,NEGATIVE
109,NEGATIVE
110,NEGATIVE
111,NEGATIVE
112,NEGATIVE
113,NEGATIVE
114,NEGATIVE
115,NEGATIVE
116,NEGATIVE
117,NEGATIVE
118,NEGATIVE
119,NEGATIVE
120,NEGATIVE
121,NEGATIVE
122,NEGATIVE
123,NEGATIVE
124,NEGATIVE
125,NEGATIVE
126,NEGATIVE
127,NEGATIVE
128,NEGATIVE
129,NEGATIVE
130,NEGATIVE
131,NEGATIVE
132,NEGATIVE
133,NEGATIVE
134,NEGATIVE
135,NEGATIVE
136,NEGATIVE
137,NEGATIVE
138,NEGATIVE
139,NEGATIVE
140,NEGATIVE
141,NEGATIVE
142,NEGATIVE
143,NEGATIVE
144,NEGATIVE
145,NEGATIVE
146,NEGATIVE
147,NEGATIVE
148,NEGATIVE
149,NEGATIVE
150,NEGATIVE
151,NEGATIVE
152,NEGATIVE
153,NEGATIVE
154,NEGATIVE
155,NEGATIVE
156,NEGATIVE
157,NEGATIVE
158,NEGATIVE
159,NEGATIVE
160,NEGATIVE
161,NEGATIVE
162,NEGATIVE
163,NEGATIVE
164,NEGATIVE
165,NEGATIVE
166,NEGATIVE
167,NEGATIVE
168,NEGATIVE
169,NEGATIVE
170,NEGATIVE
171,NEGATIVE
172,NEGATIVE
173,NEGATIVE
174,NEGATIVE
175,NEGATIVE
176,NEGATIVE
177,NEGATIVE
178,NEGATIVE
179,NEGATIVE
180,NEGATIVE
181,NEGATIVE
182,NEGATIVE
183,NEGATIVE
184,NEGATIVE
185,NEGATIVE
186,NEGATIVE
187,NEGATIVE
188,NEGATIVE
189,NEGATIVE
190,NEGATIVE
191,NEGATIVE
192,NEGATIVE
193,NEGATIVE
194,NEGATIVE
195,NEGATIVE
196,NEGATIVE
197,NEGATIVE
198,NEGATIVE
199,NEGATIVE
200,NEGATIVE
201,NEGATIVE
202,NEGATIVE
203,NEGATIVE
204,NEGATIVE
205,NEGATIVE
206,NEGATIVE
207,NEGATIVE
208,NEGATIVE
209,NEGATIVE
210,NEGATIVE
211,NEGATIVE
212,NEGATIVE
213,NEGATIVE
214,NEGATIVE
215,NEGATIVE
216,NEGATIVE
217,NEGATIVE
218,NEGATIVE
219,NEGATIVE
220,NEGATIVE
221,NEGATIVE
222,NEGATIVE
223,NEGATIVE
224,NEGATIVE
225,NEGATIVE
226,NEGATIVE
227,NEGATIVE
228,NEGATIVE
229,NEGATIVE
230,NEGATIVE
231,NEGATIVE
232,NEGATIVE
233,NEGATIVE
234,NEGATIVE
235,NEGATIVE
236,NEGATIVE
237,NEGATIVE
238,NEGATIVE
239,NEGATIVE
240,NEGATIVE
241,NEGATIVE
242,NEGATIVE
243,NEGATIVE
244,NEGATIVE
245,NEGATIVE
246,NEGATIVE
247,NEGATIVE
248,NEGATIVE
249,NEGATIVE
250,NEGATIVE
251,NEGATIVE
252,NEGATIVE
253,NEGATIVE
254,NEGATIVE
255,NEGATIVE
256,NEGATIVE
257,NEGATIVE
258,NEGATIVE
259,NEGATIVE
260,NEGATIVE
261,NEGATIVE
262,NEGATIVE
263,NEGATIVE
264,NEGATIVE
265,NEGATIVE
266,NEGATIVE
267,NEGATIVE
268,NEGATIVE
269,NEGATIVE
270,NEGATIVE
271,NEGATIVE
272,NEGATIVE
273,NEGATIVE
274,NEGATIVE
275,NEGATIVE
276,NEGATIVE
277,NEGATIVE
278,NEGATIVE
279,NEGATIVE
280,NEGATIVE
281,NEGATIVE
282,NEGATIVE
283,NEGATIVE
284,NEGATIVE
285,NEGATIVE
286,NEGATIVE
287,NEGATIVE
288,NEGATIVE
289,NEGATIVE
290,NEGATIVE
291,NEGATIVE
292,NEGATIVE
293,NEGATIVE
294,NEGATIVE
295,NEGATIVE
296,NEGATIVE
297,NEGATIVE
298,NEGATIVE
299,NEGATIVE
300,NEGATIVE
301,NEGATIVE
302,NEGATIVE
303,NEGATIVE
304,NEGATIVE
305,NEGATIVE
306,NEGATIVE
307,NEGATIVE
308,NEGATIVE
309,NEGATIVE
310,NEGATIVE
311,NEGATIVE
312,NEGATIVE
313,NEGATIVE
314,NEGATIVE
315,NEGATIVE
316,NEGATIVE
317,NEGATIVE
318,NEGATIVE
319,NEGATIVE
320,NEGATIVE
321,NEGATIVE
322,NEGATIVE
323,NEGATIVE
324,NEGATIVE
325,NEGATIVE
326,NEGATIVE
327,NEGATIVE
328,NEGATIVE
329,NEGATIVE
330,NEGATIVE
331,NEGATIVE
332,NEGATIVE
333,NEGATIVE
334,NEGATIVE
335,NEGATIVE
336,NEGATIVE
337,NEGATIVE
338,NEGATIVE
339,NEGATIVE
340,NEGATIVE
341,NEGATIVE
342,NEGATIVE
343,NEGATIVE
344,NEGATIVE
345,NEGATIVE
346,NEGATIVE
347,NEGATIVE
348,NEGATIVE
349,NEGATIVE
350,NEGATIVE
351,NEGATIVE
352,NEGATIVE
353,NEGATIVE
354,NEGATIVE
355,NEGATIVE
356,NEGATIVE
357,NEGATIVE
358,NEGATIVE
359,NEGATIVE
360,NEGATIVE
361,NEGATIVE
362,NEGATIVE
363,NEGATIVE
364,NEGATIVE
365,NEGATIVE
366,NEGATIVE
367,NEGATIVE
368,NEGATIVE
369,NEGATIVE
370,NEGATIVE
371,NEGATIVE
372,NEGATIVE
373,NEGATIVE
374,NEGATIVE
375,NEGATIVE
376,NEGATIVE
377,NEGATIVE
378,NEGATIVE
379,NEGATIVE
380,NEGATIVE
381,NEGATIVE
382,NEGATIVE
383,NEGATIVE
384,NEGATIVE
385,NEGATIVE
386,NEGATIVE
387,NEGATIVE
388,NEGATIVE
389,NEGATIVE
390,NEGATIVE
391,NEGATIVE
392,NEGATIVE
393,NEGATIVE
394,NEGATIVE
395,NEGATIVE
396,NEGATIVE
397,NEGATIVE
398,NEGATIVE
399,NEGATIVE
400,NEGATIVE
401,NEGATIVE
402,NEGATIVE
403,NEGATIVE
404,NEGATIVE
405,NEGATIVE
406,NEGATIVE
407,NEGATIVE
408,NEGATIVE
409,NEGATIVE
410,NEGATIVE
411,NEGATIVE
412,NEGATIVE
413,NEGATIVE
414,NEGATIVE
415,NEGATIVE
416,NEGATIVE
417,NEGATIVE
418,NEGATIVE
419,NEGATIVE
420,NEGATIVE
421,NEGATIVE
422,NEGATIVE
423,NEGATIVE
424,NEGATIVE
425,NEGATIVE
426,NEGATIVE
427,NEGATIVE
428,NEGATIVE
429,NEGATIVE
430,NEGATIVE
431,NEGATIVE
432,NEGATIVE
433,NEGATIVE
434,NEGATIVE
435,NEGATIVE
436,NEGATIVE
437,NEGATIVE
438,NEGATIVE
439,NEGATIVE
440,NEGATIVE
441,NEGATIVE
442,NEGATIVE
443,NEGATIVE
444,NEGATIVE
445,NEGATIVE
446,NEGATIVE
447,NEGATIVE
448,NEGATIVE
449,NEGATIVE
450,NEGATIVE
451,NEGATIVE
452,NEGATIVE
453,NEGATIVE
454,NEGATIVE
455,NEGATIVE
456,NEGATIVE
457,NEGATIVE
458,NEGATIVE
459,NEGATIVE
460,NEGATIVE
461,NEGATIVE
462,NEGATIVE
463,NEGATIVE
464,NEGATIVE
465,NEGATIVE
466,NEGATIVE
467,NEGATIVE
468,NEGATIVE
469,NEGATIVE
470,NEGATIVE
471,NEGATIVE
472,NEGATIVE
473,NEGATIVE
474,NEGATIVE
475,NEGATIVE
476,NEGATIVE
477,NEGATIVE
478,NEGATIVE
479,NEGATIVE
480,NEGATIVE
481,NEGATIVE
482,NEGATIVE
483,NEGATIVE
484,NEGATIVE
485,NEGATIVE
486,NEGATIVE
487,NEGATIVE
488,NEGATIVE
489,NEGATIVE
490,NEGATIVE
491,NEGATIVE
492,NEGATIVE
493,NEGATIVE
494,NEGATIVE
495,NEGATIVE
496,NEGATIVE
497,NEGATIVE
498,NEGATIVE
499,NEGATIVE
500,NEGATIVE
501,NEGATIVE
502,NEGATIVE
503,NEGATIVE
504,NEGATIVE
505,NEGATIVE
506,NEGATIVE
507,NEGATIVE
508,NEGATIVE
509,NEGATIVE
510,NEGATIVE
511,NEGATIVE
512,NEGATIVE
513,NEGATIVE
514,NEGATIVE
515,NEGATIVE
516,NEGATIVE
517,NEGATIVE
518,NEGATIVE
519,NEGATIVE
520,NEGATIVE
521,NEGATIVE
522,NEGATIVE
523,NEGATIVE
524,NEGATIVE
525,NEGATIVE
526,NEGATIVE
527,NEGATIVE
528,NEGATIVE
529,NEGATIVE
530,NEGATIVE
531,NEGATIVE
532,NEGATIVE
533,NEGATIVE
534,NEGATIVE
535,NEGATIVE
536,NEGATIVE
537,NEGATIVE
538,NEGATIVE
539,NEGATIVE
540,NEGATIVE
541,NEGATIVE
542,NEGATIVE
543,NEGATIVE
544,NEGATIVE
545,NEGATIVE
546,NEGATIVE
547,NEGATIVE
548,NEGATIVE
549,NEGATIVE
550,NEGATIVE
551,NEGATIVE
552,NEGATIVE
553,NEGATIVE
554,NEGATIVE
555,NEGATIVE
556,NEGATIVE
557,NEGATIVE
558,NEGATIVE
559,NEGATIVE
560,NEGATIVE
561,NEGATIVE
562,NEGATIVE
563,NEGATIVE
564,NEGATIVE
565,NEGATIVE
566,NEGATIVE
567,NEGATIVE
568,NEGATIVE
569,NEGATIVE
570,NEGATIVE
571,NEGATIVE
572,NEGATIVE
573,NEGATIVE
574,NEGATIVE
575,NEGATIVE
576,NEGATIVE
577,NEGATIVE
578,NEGATIVE
579,NEGATIVE
580,NEGATIVE
581,NEGATIVE
582,NEGATIVE
583,NEGATIVE
584,NEGATIVE
585,NEGATIVE
586,NEGATIVE
587,NEGATIVE
588,NEGATIVE
589,NEGATIVE
590,NEGATIVE
591,NEGATIVE
592,NEGATIVE
593,NEGATIVE
594,NEGATIVE
595,NEGATIVE
596,NEGATIVE
597,NEGATIVE
598,NEGATIVE
599,NEGATIVE
600,NEGATIVE
601,NEGATIVE
602,NEGATIVE
603,NEGATIVE
604,NEGATIVE
605,NEGATIVE
606,NEGATIVE
607,NEGATIVE
608,NEGATIVE
609,NEGATIVE
610,NEGATIVE
611,NEGATIVE
612,NEGATIVE
613,NEGATIVE
614,NEGATIVE
615,NEGATIVE
616,NEGATIVE
617,NEGATIVE
618,NEGATIVE
619,NEGATIVE
620,NEGATIVE
621,NEGATIVE
622,NEGATIVE
623,NEGATIVE
624,NEGATIVE
625,NEGATIVE
626,NEGATIVE
627,NEGATIVE
628,NEGATIVE
629,NEGATIVE
630,NEGATIVE
631,NEGATIVE
632,NEGATIVE
633,NEGATIVE
634,NEGATIVE
635,NEGATIVE
636,NEGATIVE
637,NEGATIVE
638,NEGATIVE
639,NEGATIVE
640,NEGATIVE
641,NEGATIVE
642,NEGATIVE
643,NEGATIVE
644,NEGATIVE
645,NEGATIVE
646,NEGATIVE
647,NEGATIVE
648,NEGATIVE
649,NEGATIVE
650,NEGATIVE
651,NEGATIVE
652,NEGATIVE
653,NEGATIVE
654,NEGATIVE
655,NEGATIVE
656,NEGATIVE
657,NEGATIVE
658,NEGATIVE
659,NEGATIVE
660,NEGATIVE
661,NEGATIVE
662,NEGATIVE
663,NEGATIVE
664,NEGATIVE
665,NEGATIVE
666,NEGATIVE
667,NEGATIVE
668,NEGATIVE
669,NEGATIVE
670,NEGATIVE
671,NEGATIVE
672,NEGATIVE
673,NEGATIVE
674,NEGATIVE
675,NEGATIVE
676,NEGATIVE
677,NEGATIVE
678,NEGATIVE
679,NEGATIVE
680,NEGATIVE
681,NEGATIVE
682,NEGATIVE
683,NEGATIVE
684,NEGATIVE
685,NEGATIVE
686,NEGATIVE
687,NEGATIVE
688,NEGATIVE
689,NEGATIVE
690,NEGATIVE
691,NEGATIVE
692,NEGATIVE
693,NEGATIVE
694,NEGATIVE
695,NEGATIVE
696,NEGATIVE
697,NEGATIVE
698,NEGATIVE
699,NEGATIVE
700,NEGATIVE
701,NEGATIVE
702,NEGATIVE
703,NEGATIVE
704,NEGATIVE
705,NEGATIVE
706,NEGATIVE
707,NEGATIVE
708,NEGATIVE
709,NEGATIVE
710,NEGATIVE
711,NEGATIVE
712,NEGATIVE
713,NEGATIVE
714,NEGATIVE
715,NEGATIVE
716,NEGATIVE
717,NEGATIVE
718,NEGATIVE
719,NEGATIVE
720,NEGATIVE
721,NEGATIVE
722,NEGATIVE
723,NEGATIVE
724,NEGATIVE
725,NEGATIVE
726,NEGATIVE
727,NEGATIVE
728,NEGATIVE
729,NEGATIVE
730,NEGATIVE
731,NEGATIVE
732,NEGATIVE
733,NEGATIVE
734,NEGATIVE
735,NEGATIVE
736,NEGATIVE
737,NEGATIVE
738,NEGATIVE
739,NEGATIVE
740,NEGATIVE
741,NEGATIVE
742,NEGATIVE
743,NEGATIVE
744,NEGATIVE
745,NEGATIVE
746,NEGATIVE
747,NEGATIVE
748,NEGATIVE
749,NEGATIVE
750,NEGATIVE
751,NEGATIVE
752,NEGATIVE
753,NEGATIVE
754,NEGATIVE
755,NEGATIVE
756,NEGATIVE
757,NEGATIVE
758,NEGATIVE
759,NEGATIVE
760,NEGATIVE
761,NEGATIVE
762,NEGATIVE
763,NEGATIVE
764,NEGATIVE
765,NEGATIVE
766,NEGATIVE
767,NEGATIVE
768,NEGATIVE
769,NEGATIVE
770,NEGATIVE
771,NEGATIVE
772,NEGATIVE
773,NEGATIVE
774,NEGATIVE
775,NEGATIVE
776,NEGATIVE
777,NEGATIVE
778,NEGATIVE
779,NEGATIVE
780,NEGATIVE
781,NEGATIVE
782,NEGATIVE
783,NEGATIVE
784,NEGATIVE
785,NEGATIVE
786,NEGATIVE
787,NEGATIVE
788,NEGATIVE
789,NEGATIVE
790,NEGATIVE
791,NEGATIVE
792,NEGATIVE
793,NEGATIVE
794,NEGATIVE
795,NEGATIVE
796,NEGATIVE
797,NEGATIVE
798,NEGATIVE
799,NEGATIVE
800,NEGATIVE
801,NEGATIVE
802,NEGATIVE
803,NEGATIVE
804,NEGATIVE
805,NEGATIVE
806,NEGATIVE
807,NEGATIVE
808,NEGATIVE
809,NEGATIVE
810,NEGATIVE
811,NEGATIVE
812,NEGATIVE
813,NEGATIVE
814,NEGATIVE
815,NEGATIVE
816,NEGATIVE
817,NEGATIVE
818,NEGATIVE
819,NEGATIVE
820,NEGATIVE
821,NEGATIVE
822,NEGATIVE
823,NEGATIVE
824,NEGATIVE
825,NEGATIVE
826,NEGATIVE
827,NEGATIVE
828,NEGATIVE
829,NEGATIVE
830,NEGATIVE
831,NEGATIVE
832,NEGATIVE
833,NEGATIVE
834,NEGATIVE
835,NEGATIVE
836,NEGATIVE
837,NEGATIVE
838,NEGATIVE
839,NEGATIVE
840,NEGATIVE
841,NEGATIVE
842,NEGATIVE
843,NEGATIVE
844,NEGATIVE
845,NEGATIVE
846,NEGATIVE
847,NEGATIVE
848,NEGATIVE
849,NEGATIVE
850,NEGATIVE
851,NEGATIVE
852,NEGATIVE
853,NEGATIVE
854,NEGATIVE
855,NEGATIVE
856,NEGATIVE
857,NEGATIVE
858,NEGATIVE
859,NEGATIVE
860,NEGATIVE
861,NEGATIVE
862,NEGATIVE
863,NEGATIVE
864,NEGATIVE
865,NEGATIVE
866,NEGATIVE
867,NEGATIVE
868,NEGATIVE
869,NEGATIVE
870,NEGATIVE
871,NEGATIVE
872,NEGATIVE
873,NEGATIVE
874,NEGATIVE
875,NEGATIVE
876,NEGATIVE
877,NEGATIVE
878,NEGATIVE
879,NEGATIVE
880,NEGATIVE
881,NEGATIVE
882,NEGATIVE
883,NEGATIVE
884,NEGATIVE
885,NEGATIVE
886,NEGATIVE
887,NEGATIVE
888,NEGATIVE
889,NEGATIVE
890,NEGATIVE
891,NEGATIVE
892,NEGATIVE
893,NEGATIVE
894,NEGATIVE
895,NEGATIVE
896,NEGATIVE
897,NEGATIVE
898,NEGATIVE
899,NEGATIVE
900,NEGATIVE
901,NEGATIVE
902,NEGATIVE
903,NEGATIVE
904,NEGATIVE
905,NEGATIVE
906,NEGATIVE
907,NEGATIVE
908,NEGATIVE
909,NEGATIVE
910,NEGATIVE
911,NEGATIVE
912,NEGATIVE
913,NEGATIVE
914,NEGATIVE
915,NEGATIVE
916,NEGATIVE
917,NEGATIVE
918,NEGATIVE
919,NEGATIVE
920,NEGATIVE
921,NEGATIVE
922,NEGATIVE
923,NEGATIVE
924,NEGATIVE
925,NEGATIVE
926,NEGATIVE
927,NEGATIVE
928,NEGATIVE
929,NEGATIVE
930,NEGATIVE
931,NEGATIVE
932,NEGATIVE
933,NEGATIVE
934,NEGATIVE
935,NEGATIVE
936,NEGATIVE
937,NEGATIVE
938,NEGATIVE
939,NEGATIVE
940,NEGATIVE
941,NEGATIVE
942,NEGATIVE
943,NEGATIVE
944,NEGATIVE
945,NEGATIVE
946,NEGATIVE
947,NEGATIVE
948,NEGATIVE
949,NEGATIVE
950,NEGATIVE
951,NEGATIVE
952,NEGATIVE
953,NEGATIVE
954,NEGATIVE
955,NEGATIVE
956,NEGATIVE
957,NEGATIVE
958,NEGATIVE
959,NEGATIVE
960,NEGATIVE
961,NEGATIVE
962,NEGATIVE
963,NEGATIVE
964,NEGATIVE
965,NEGATIVE
966,NEGATIVE
967,NEGATIVE
968,NEGATIVE
969,NEGATIVE
970,NEGATIVE
971,NEGATIVE
972,NEGATIVE
973,NEGATIVE
974,NEGATIVE
975,NEGATIVE
976,NEGATIVE
977,NEGATIVE
978,NEGATIVE
979,NEGATIVE
980,NEGATIVE
981,NEGATIVE
982,NEGATIVE
983,NEGATIVE
984,NEGATIVE
985,NEGATIVE
986,NEGATIVE
987,NEGATIVE
988,NEGATIVE
989,NEGATIVE
990,NEGATIVE
991,NEGATIVE
992,NEGATIVE
993,NEGATIVE
994,NEGATIVE
995,NEGATIVE
996,NEGATIVE
997,NEGATIVE
998,NEGATIVE
999,NEGATIVE
1000,NEGATIVE
1001,NEGATIVE
1002,NEGATIVE
1003,NEGATIVE
1004,NEGATIVE
1005,NEGATIVE
1006,NEGATIVE
1007,NEGATIVE
1008,NEGATIVE
1009,NEGATIVE
1010,NEGATIVE
1011,NEGATIVE
1012,NEGATIVE
1013,NEGATIVE
1014,NEGATIVE
1015,NEGATIVE
1016,NEGATIVE
1017,NEGATIVE
1018,NEGATIVE
1019,NEGATIVE
1020,NEGATIVE
1021,NEGATIVE
1022,NEGATIVE
1023,NEGATIVE
1024,NEGATIVE
1025,NEGATIVE
1026,NEGATIVE
1027,NEGATIVE
1028,NEGATIVE
1029,NEGATIVE
1030,NEGATIVE
1031,NEGATIVE
1032,NEGATIVE
1033,NEGATIVE
1034,NEGATIVE
1035,NEGATIVE
1036,NEGATIVE
1037,NEGATIVE
1038,NEGATIVE
1039,NEGATIVE
1040,NEGATIVE
1041,NEGATIVE
1042,NEGATIVE
1043,NEGATIVE
1044,NEGATIVE
1045,NEGATIVE
1046,NEGATIVE
1047,NEGATIVE
1048,NEGATIVE
1049,NEGATIVE
1050,NEGATIVE
1051,NEGATIVE
1052,NEGATIVE
1053,NEGATIVE
1054,NEGATIVE
1055,NEGATIVE
1056,NEGATIVE
1057,NEGATIVE
1058,NEGATIVE
1059,NEGATIVE
1060,NEGATIVE
1061,NEGATIVE
1062,NEGATIVE
1063,NEGATIVE
1064,NEGATIVE
1065,NEGATIVE
1066,NEGATIVE
1067,NEGATIVE
1068,NEGATIVE
1069,NEGATIVE
1070,NEGATIVE
1071,NEGATIVE
1072,NEGATIVE
1073,NEGATIVE
1074,NEGATIVE
1075,NEGATIVE
1076,NEGATIVE
1077,NEGATIVE
1078,NEGATIVE
1079,NEGATIVE
1080,NEGATIVE
1081,NEGATIVE
1082,NEGATIVE
1083,NEGATIVE
1084,NEGATIVE
1085,NEGATIVE
1086,NEGATIVE
1087,NEGATIVE
1088,NEGATIVE
1089,NEGATIVE
1090,NEGATIVE
1091,NEGATIVE
1092,NEGATIVE
1093,NEGATIVE
1094,NEGATIVE
1095,NEGATIVE
1096,NEGATIVE
1097,NEGATIVE
1098,NEGATIVE
1099,NEGATIVE
1100,NEGATIVE
1101,NEGATIVE
1102,NEGATIVE
1103,NEGATIVE
1104,NEGATIVE
1105,NEGATIVE
1106,NEGATIVE
1107,NEGATIVE
1108,NEGATIVE
1109,NEGATIVE
1110,NEGATIVE
1111,NEGATIVE
1112,NEGATIVE
1113,NEGATIVE
1114,NEGATIVE
1115,NEGATIVE
1116,NEGATIVE
1117,NEGATIVE
1118,NEGATIVE
1119,NEGATIVE
1120,NEGATIVE
1121,NEGATIVE
1122,NEGATIVE
1123,NEGATIVE
1124,NEGATIVE
1125,NEGATIVE
1126,NEGATIVE
1127,NEGATIVE
1128,NEGATIVE
1129,NEGATIVE
1130,NEGATIVE
1131,NEGATIVE
1132,NEGATIVE
1133,NEGATIVE
1134,NEGATIVE
1135,NEGATIVE
1136,NEGATIVE
1137,NEGATIVE
1138,NEGATIVE
1139,NEGATIVE
1140,NEGATIVE
1141,NEGATIVE
1142,NEGATIVE
1143,NEGATIVE
1144,NEGATIVE
1145,NEGATIVE
1146,NEGATIVE
1147,NEGATIVE
1148,NEGATIVE
1149,NEGATIVE
1150,NEGATIVE
1151,NEGATIVE
1152,NEGATIVE
1153,NEGATIVE
1154,NEGATIVE
1155,NEGATIVE
1156,NEGATIVE
1157,NEGATIVE
1158,NEGATIVE
1159,NEGATIVE
1160,NEGATIVE
1161,NEGATIVE
1162,NEGATIVE
1163,NEGATIVE
1164,NEGATIVE
1165,NEGATIVE
1166,NEGATIVE
1167,NEGATIVE
1168,NEGATIVE
1169,NEGATIVE
1170,NEGATIVE
1171,NEGATIVE
1172,NEGATIVE
1173,NEGATIVE
1174,NEGATIVE
1175,NEGATIVE
1176,NEGATIVE
1177,NEGATIVE
1178,NEGATIVE
1179,NEGATIVE
1180,NEGATIVE
1181,NEGATIVE
1182,NEGATIVE
1183,NEGATIVE
1184,NEGATIVE
1185,NEGATIVE
1186,NEGATIVE
1187,NEGATIVE
1188,NEGATIVE
1189,NEGATIVE
1190,NEGATIVE
1191,NEGATIVE
1192,NEGATIVE
1193,NEGATIVE
1194,NEGATIVE
1195,NEGATIVE
1196,NEGATIVE
1197,NEGATIVE
1198,NEGATIVE
1199,NEGATIVE
1200,NEGATIVE
1201,NEGATIVE
1202,NEGATIVE
1203,NEGATIVE
1204,NEGATIVE
1205,NEGATIVE
1206,NEGATIVE
1207,NEGATIVE
1208,NEGATIVE
1209,NEGATIVE
1210,NEGATIVE
1211,NEGATIVE
1212,NEGATIVE
1213,NEGATIVE
1214,NEGATIVE
1215,NEGATIVE
1216,NEGATIVE
1217,NEGATIVE
1218,NEGATIVE
1219,NEGATIVE
1220,NEGATIVE
1221,NEGATIVE
1222,NEGATIVE
1223,NEGATIVE
1224,NEGATIVE
1225,NEGATIVE
1226,NEGATIVE
1227,NEGATIVE
1228,NEGATIVE
1229,NEGATIVE
1230,NEGATIVE
1231,NEGATIVE
1232,NEGATIVE
1233,NEGATIVE
1234,NEGATIVE
1235,NEGATIVE
1236,NEGATIVE
1237,NEGATIVE
1238,NEGATIVE
1239,NEGATIVE
1240,NEGATIVE
1241,NEGATIVE
1242,NEGATIVE
1243,NEGATIVE
1244,NEGATIVE
1245,NEGATIVE
1246,NEGATIVE
1247,NEGATIVE
1248,NEGATIVE
1249,NEGATIVE
1250,NEGATIVE
1251,NEGATIVE
1252,NEGATIVE
1253,NEGATIVE
1254,NEGATIVE
1255,NEGATIVE
1256,NEGATIVE
1257,NEGATIVE
1258,NEGATIVE
1259,NEGATIVE
1260,NEGATIVE
1261,NEGATIVE
1262,NEGATIVE
1263,NEGATIVE
1264,NEGATIVE
1265,NEGATIVE
1266,NEGATIVE
1267,NEGATIVE
1268,NEGATIVE
1269,NEGATIVE
1270,NEGATIVE
1271,NEGATIVE
1272,NEGATIVE
1273,NEGATIVE
1274,NEGATIVE
1275,NEGATIVE
1276,NEGATIVE
1277,NEGATIVE
1278,NEGATIVE
1279,NEGATIVE
1280,NEGATIVE
1281,NEGATIVE
1282,NEGATIVE
1283,NEGATIVE
1284,NEGATIVE
1285,NEGATIVE
1286,NEGATIVE
1287,NEGATIVE
1288,NEGATIVE
1289,NEGATIVE
1290,NEGATIVE
1291,NEGATIVE
1292,NEGATIVE
1293,NEGATIVE
1294,NEGATIVE
1295,NEGATIVE
1296,NEGATIVE
1297,NEGATIVE
1298,NEGATIVE
1299,NEGATIVE
1300,NEGATIVE
1301,NEGATIVE
1302,NEGATIVE
1303,NEGATIVE
1304,NEGATIVE
1305,NEGATIVE
1306,NEGATIVE
1307,NEGATIVE
1308,NEGATIVE
1309,NEGATIVE
1310,NEGATIVE
1311,NEGATIVE
1312,NEGATIVE
1313,NEGATIVE
1314,NEGATIVE
1315,NEGATIVE
1316,NEGATIVE
1317,NEGATIVE
1318,NEGATIVE
1319,NEGATIVE
1320,NEGATIVE
1321,NEGATIVE
1322,NEGATIVE
1323,NEGATIVE
1324,NEGATIVE
1325,NEGATIVE
1326,NEGATIVE
1327,NEGATIVE
1328,NEGATIVE
1329,NEGATIVE
1330,NEGATIVE
1331,NEGATIVE
1332,NEGATIVE
1333,NEGATIVE
1334,NEGATIVE
1335,NEGATIVE
1336,NEGATIVE
1337,NEGATIVE
1338,NEGATIVE
1339,NEGATIVE
1340,NEGATIVE
1341,NEGATIVE
1342,NEGATIVE
1343,NEGATIVE
1344,NEGATIVE
1345,NEGATIVE
1346,NEGATIVE
1347,NEGATIVE
1348,NEGATIVE
1349,NEGATIVE
1350,NEGATIVE
1351,NEGATIVE
1352,NEGATIVE
1353,NEGATIVE
1354,NEGATIVE
1355,NEGATIVE
1356,NEGATIVE
1357,NEGATIVE
1358,NEGATIVE
1359,NEGATIVE
1360,NEGATIVE
1361,NEGATIVE
